Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base,-0.143651511857374,0.108895459398045,0.0812772540077323,0,0,0,5.26325366509137,0.0148943720049105,-1.47975198134271E-06,-8.31653282119483E-06,0.0219350627580291,-4.01751561824985E-06,0.0231941861217009,0,0,0,0,0,0,package://cw7/meshes/Base.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://cw7/meshes/Base.STL,,Body-1,좌표계1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.0666875210853818,0.00364278355332759,-0.0648369138582873,0,0,0,0.26437001106024,3.20746276473134E-05,-1.44118283521323E-07,-6.30853084344804E-08,6.22704126338856E-05,-2.01894652764193E-07,6.28519936954001E-05,0,0,0,0,0,0,package://cw7/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://cw7/meshes/LFS.STL,,Suspensionsystem-1,Origin_LFS,Axis_LFS,LFS,prismatic,-0.050812,0.31516,-0.047207,2.834,0,-1.5708,Base,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LFW,-0.012315724574073,-1.38777878078145E-17,0,0,0,0,0.193585420779862,0.000253081141332254,-5.88092833198904E-37,5.1845054750851E-21,0.000136818598566517,7.17557753438369E-37,0.000136818598566517,0,0,0,0,0,0,package://cw7/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://cw7/meshes/LFW.STL,,wheel-4,Origin_LFW,Axis_LFW,LFW,continuous,0.00041099,-0.018219,-0.039786,-1.8784,0,3.1416,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,0.0724473276378504,-0.00242306558271344,-0.0667549990091164,0,0,0,0.26437001106024,3.20746276473134E-05,1.4411828352133E-07,6.30853084344786E-08,6.22704126338856E-05,-2.01894652764197E-07,6.28519936954002E-05,0,0,0,0,0,0,package://cw7/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://cw7/meshes/RFS.STL,,Suspensionsystem2-1,Origin_RFS,Axis_RFS,RFS,prismatic,-0.012128,-0.10492,-0.047207,2.834,0,1.5708,Base,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RFW,-0.012315724574073,5.55111512312578E-17,2.77555756156289E-17,0,0,0,0.193585420779862,0.000253081141332254,-9.44297928840748E-22,9.68305644339428E-21,0.000136818598566517,1.01643953670516E-20,0.000136818598566517,0,0,0,0,0,0,package://cw7/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://cw7/meshes/RFW.STL,,wheel-3,Origin_RFW,Axis_RFW,RFW,continuous,0.0061708,0.00097405,-0.03369,-0.69943,0,3.1416,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,0.0754022136877307,-0.00953574862501649,-0.0222014198592475,0,0,0,0.197009126147877,1.68802738687172E-05,2.58331972448633E-21,1.18404326671451E-21,5.02184885667569E-05,1.0508875929185E-06,4.72447473350486E-05,0,0,0,0,0,0,package://cw7/meshes/LBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://cw7/meshes/LBS.STL,,suspensioncastle-1,Origin_LBS,Axis_LBS,LBS,prismatic,-0.23081,0.31516,0.0042239,2.834,0,-1.5708,Base,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LBC,0.00212675678752455,-0.00125107346378663,-2.77555756156289E-17,0,0,0,0.0337925918529465,9.9077845929407E-06,1.2779398016802E-06,4.3277047727605E-22,2.88462343109062E-06,2.46718102352452E-21,1.17553584577796E-05,0,0,0,0,0,0,package://cw7/meshes/LBC.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://cw7/meshes/LBC.STL,,CastleCatcher-1,Origin_LBC,Axis_LBC,LBC,continuous,0.0411609911350767,-0.0150684419408276,-0.00478749419309598,-1.87842660467749,0,3.14159265358979,LBS,0,1,0,,,,,,,,,,,,
LBW,0.017684275425927,0,0,0,0,0,0.193585420779862,0.000253081141332254,-5.88092833198904E-37,5.1845054750851E-21,0.000136818598566517,7.17557753438369E-37,0.000136818598566517,0,0,0,0,0,0,package://cw7/meshes/LBW.STL,1,1,1,1,0,0,0,0,0,0,package://cw7/meshes/LBW.STL,,wheel-1,Origin_LBW,Axis_LBW,LBW,continuous,0.01075,-0.019033,0,0,0,0,LBC,1,0,0,3.1,7,,,,,,,,,,
RBS,0.0754022136877307,-0.00953574862501652,-0.0222014198592475,0,0,0,0.197009126147877,1.68802738687172E-05,-2.41251679006337E-21,-1.24044386020506E-21,5.02184885667569E-05,1.05088759291849E-06,4.72447473350486E-05,0,0,0,0,0,0,package://cw7/meshes/RBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://cw7/meshes/RBS.STL,,suspensioncastle-2,Origin_RBS,Axis_RBS,RBS,prismatic,-0.19919,-0.099161,0.0042239,2.834,0,1.5708,Base,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RBC,0.00212675678752453,-0.00125107346378658,0,0,0,0,0.0337925918529465,9.90778459294068E-06,1.2779398016802E-06,6.20283035144575E-22,2.88462343109061E-06,2.59467414944555E-21,1.17553584577795E-05,0,0,0,0,0,0,package://cw7/meshes/RBC.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://cw7/meshes/RBC.STL,,CastleCatcher-2,Origin_RBC,Axis_RBC,RBC,continuous,0.041161,-0.015068,-0.0047875,-1.8784,0,3.1416,RBS,0,1,0,,,,,,,,,,,,
